tool ,nthreads ,size ,repetitions ,usec,speedup,,,, 
Pthreads,1,1000000,2000,5621072,0,,,, 
Pthreads,2,500000,2000,2805236,"2,0038",,,, 
Pthreads,4,250000,2000,1442014,"3,8981",,,, 
Pthreads,6,166667,2000,1026312,"5,477",,,, 
Pthreads,8,125000,2000,820605,"6,8499",,,, 
Pthreads,10,100000,2000,655545,"8,5747",,,, 
Pthreads,12,83334,2000,556527,"10,1003",,,, 
Pthreads,1,6000000,2000,33625857,0,,,, 
Pthreads,2,3000000,2000,16819819,"1,9992",,,,
Pthreads,4,1500000,2000,8894915,"3,7803",,,, 
Pthreads,6,1000000,2000,6348025,"5,2971",,,, 
Pthreads,8,750000,2000,6150193,"5,4674",,,, 
Pthreads,10,600000,2000,6669775,"5,0415",,,, 
Pthreads,12,500000,2000,6841765,"4,9148",,,, 
Pthreads,1,600000,1000,1685475,0,,,, 
Pthreads,2,300000,1000,847040,"1,9898",,,, 
Pthreads,4,150000,1000,424550,"3,97",,,, 
Pthreads,6,100000,1000,319259,"5,2793",,,,
Pthreads,8,75000,1000,243311,"6,9272",,,, 
Pthreads,10,60000,1000,196471,"8,5787",,,, 
Pthreads,12,50000,1000,170768,"9,87",,,, 
Pthreads,1,6000000,4000,67186257,0,,,,
Pthreads,2,3000000,4000,33750454,"1,9907",,,,
Pthreads,4,1500000,4000,18162057,"3,6993",,,,
Pthreads,6,1000000,4000,13070405,"5,1403",,,,
Pthreads,8,750000,4000,12652516,"5,3101",,,,
Pthreads,10,600000,4000,13756192,"4,8841",,,,
Pthreads,12,500000,4000,13902264,"4,8328",,,,
Pthreads,1,6000,1000000,16585585,0,,,,
Pthreads,2,3000,1000000,8338887,"1,9889",,,,
Pthreads,4,1500,1000000,4249461,"3,903",,,,
Pthreads,6,1000,1000000,3082387,"5,3808",,,,
Pthreads,8,750,1000000,2417845,"6,8597",,,,
Pthreads,10,600,1000000,1997293,"8,304",,,,
Pthreads,12,500,1000000,1869694,"8,8707",,,,
OpenMP,1,1000000,2000,5558143,0,,,,
OpenMP,2,500000,2000,2827618,"1,9657",,,,
OpenMP,4,250000,2000,1414373,"3,9298",,,,
OpenMP,6,166667,2000,1029848,"5,3971",,,,
OpenMP,8,125000,2000,829420,"6,7012",,,,
OpenMP,10,100000,2000,663501,"8,377",,,,
OpenMP,12,83334,2000,561099,"9,9058",,,,
OpenMP,1,6000000,2000,33743805,0,,,,
OpenMP,2,3000000,2000,16924313,"1,9938",,,,
OpenMP,4,1500000,2000,8866469,"3,8058",,,,
OpenMP,6,1000000,2000,6551983,"5,1502",,,,
OpenMP,8,750000,2000,6475129,"5,2113",,,,
OpenMP,10,600000,2000,7038421,"4,7942",,,,
OpenMP,12,500000,2000,7127187,"4,7345",,,,
OpenMP,1,600000,1000,1694409,0,,,,
OpenMP,2,300000,1000,847274,"1,9998",,,,
OpenMP,4,150000,1000,455321,"3,7214",,,,
OpenMP,6,100000,1000,316397,"5,3553",,,,
OpenMP,8,75000,1000,241776,"7,0082",,,,
OpenMP,10,60000,1000,196290,"8,6322",,,,
OpenMP,12,50000,1000,178248,"9,5059",,,,
OpenMP,1,6000000,4000,67713325,0,,,,
OpenMP,2,3000000,4000,33909479,"1,9969",,,,
OpenMP,4,1500000,4000,17628255,"3,8412",,,,
OpenMP,6,1000000,4000,12784866,"5,2964",,,,
OpenMP,8,750000,4000,12859858,"5,2655",,,,
OpenMP,10,600000,4000,13510253,"5,012",,,,
OpenMP,12,500000,4000,13651474,"4,9601",,,,
OpenMP,1,6000,1000000,16621179,0,,,,
OpenMP,2,3000,1000000,8380831,"1,9832",,,,
OpenMP,4,1500,1000000,4247213,"3,9134",,,,
OpenMP,6,1000,1000000,3125255,"5,3183",,,,
OpenMP,8,750,1000000,2369893,"7,0135",,,,
OpenMP,10,600,1000000,1979392,"8,3971",,,,
OpenMP,12,500,1000000,1724457,"9,6385",,,,
